Landscape,Edge,mean,edgeplus1SD,edgeminus1SD,landplus1SD,landminus1SD,houseplus1SD,houseminus1SD,carbonplus1SD,carbonminus1SD,tfiplus1SD,tfiminus1SD,powerplus1SD,powerminus1SD,lifeplus1SD,lifeminus1SD,region
l0,e0,4983657.547,4983657.547,4983657.547,5448682.577,4518632.518,3816175.701,3816175.701,NA,NA,4028038.585,3604312.817,3816175.701,3816175.701,3816175.701,3816175.701,SA_MAM
l1,e0,4938836.909,4938836.909,4938836.909,5738052.865,4139620.952,3136387.956,3136387.956,NA,NA,3324029.75,2948746.162,3136387.956,3136387.956,3136387.956,3136387.956,SA_MAM
l10,e0,6891192.492,6891192.492,6891192.492,12652734.37,1129650.609,1773226.439,1773226.439,NA,NA,1903451.965,1643000.914,1773226.439,1773226.439,1773226.439,1773226.439,SA_MAM
l15,e0,2932250.036,2932250.036,2932250.036,3397275.066,2467225.007,1764768.19,1764768.19,NA,NA,1893469.014,1636067.366,1764768.19,1764768.19,1764768.19,1764768.19,SA_MAM
l2,e0,4874656.834,4874656.834,4874656.834,6029188.096,3720125.572,2667617.198,2667617.198,NA,NA,2838445.825,2496788.57,2667617.198,2667617.198,2667617.198,2667617.198,SA_MAM
l3,e0,5103948.579,5103948.579,5103948.579,6990719.119,3217178.04,2277283.245,2277283.245,NA,NA,2434923.984,2119642.506,2277283.245,2277283.245,2277283.245,2277283.245,SA_MAM
l5,e0,6225668.917,6225668.917,6225668.917,10090124.97,2361212.868,2089205.33,2089205.33,NA,NA,2236308.61,1942102.05,2089205.33,2089205.33,2089205.33,2089205.33,SA_MAM
l0,e0,4759012.588,4759012.588,4759012.588,4967009.296,4551015.88,4229437.263,4229437.263,5257896.398,3200978.128,4397126.978,4061747.548,4229437.263,4229437.263,4229437.263,4229437.263,SA_MD
l1,e0,4015429.818,4015429.818,4015429.818,4370648.389,3660211.247,3205866.487,3205866.487,4011530.498,2400202.475,3356671.61,3055061.363,3205866.487,3205866.487,3205866.487,3205866.487,SA_MD
l10,e0,3272710.507,3272710.507,3272710.507,4504252.824,2041168.19,1186287.112,1186287.112,1536086.118,836488.1056,1282050.25,1090523.973,1186287.112,1186287.112,1186287.112,1186287.112,SA_MD
l15,e0,1815530.336,1815530.336,1815530.336,2023527.044,1607533.628,1285955.011,1285955.011,1659591.876,912318.1457,1387593.618,1184316.403,1285955.011,1285955.011,1285955.011,1285955.011,SA_MD
l2,e0,3424877.965,3424877.965,3424877.965,3823372.436,3026383.495,2464365.039,2464365.039,3103971.008,1824759.07,2597835.904,2330894.173,2464365.039,2464365.039,2464365.039,2464365.039,SA_MD
l3,e0,3389311.532,3389311.532,3389311.532,3918557.253,2860065.811,1992418.244,1992418.244,2527854.465,1456982.024,2115256.25,1869580.239,1992418.244,1992418.244,1992418.244,1992418.244,SA_MD
l5,e0,2802838.601,2802838.601,2802838.601,3544702.513,2060974.688,1201852.757,1201852.757,1547728.92,855976.5939,1294081.182,1109624.332,1201852.757,1201852.757,1201852.757,1201852.757,SA_MD
